CustomerKey,FirstName,LastName,FullName,Age,Gender,FirstPurchaseDate,City,Country
11115,Alvin,Cai,Alvin Cai,58,Male,10-02-2024,St. Leonards,Australia
11116,Clinton,Carlson,Clinton Carlson,46,Male,15-03-2024,Sydney,Australia
11117,April,Deng,April Deng,59,Female,06-05-2022,Matraville,Australia
11118,Alvin,Zeng,Alvin Zeng,63,Male,10-07-2024,Lavender Bay,Australia
11119,Evan,James,Evan James,85,Male,03-02-2024,Port Macquarie,Australia
11120,Beth,Jiménez,Beth Jiménez,83,Female,14-05-2022,Sydney,Australia
11121,Orlando,Suarez,Orlando Suarez,59,Male,24-06-2024,Newcastle,Australia
11122,Byron,Vazquez,Byron Vazquez,60,Male,21-02-2024,North Sydney,Australia
11123,Philip,Alvarez,Philip Alvarez,60,Male,17-04-2024,Sunbury,Australia
11124,Ross,Jordan,Ross Jordan,57,Male,05-05-2022,Warrnambool,Australia
11125,Dana,Navarro,Dana Navarro,64,Female,31-01-2024,Seaford,Australia
11126,Shaun,Carson,Shaun Carson,71,Male,28-05-2022,North Ryde,Australia
11127,Jan,Edwards,Jan Edwards,44,Female,10-04-2024,San Gabriel,United States
11128,Samantha,Long,Samantha Long,44,Female,19-06-2024,Renton,United States
11129,Julia,Wright,Julia Wright,44,Female,06-08-2022,Sedro Woolley,United States
11130,Caroline,Russell,Caroline Russell,40,Female,09-12-2024,Lebanon,United States
11131,Amanda,Rivera,Amanda Rivera,40,Female,18-10-2024,Haney,Canada
11132,Melissa,Richardson,Melissa Richardson,39,Female,09-04-2024,Langford,Canada
11133,Angela,Griffin,Angela Griffin,39,Female,30-12-2024,Lake Oswego,United States
11134,Larry,Townsend,Larry Townsend,68,Male,03-05-2022,Perth,Australia
11135,Marcus,Harris,Marcus Harris,40,Male,18-04-2024,Burlingame,United States
11136,Brianna,Morgan,Brianna Morgan,41,Female,03-01-2024,Metchosin,Canada
11137,Jasmine,Taylor,Jasmine Taylor,41,Female,31-07-2024,Spokane,United States
11138,Lauren,Davis,Lauren Davis,41,Female,19-09-2024,Glendale,United States
11139,Tanya,Moreno,Tanya Moreno,76,Female,14-09-2024,Cloverdale,Australia
11140,Javier,Alvarez,Javier Alvarez,43,Male,19-03-2024,Burbank,United States
11141,Nicole,Ramirez,Nicole Ramirez,43,Female,16-05-2024,Daly City,United States
11142,Eduardo,Patterson,Eduardo Patterson,42,Male,13-02-2024,Langford,Canada
11143,Jonathan,Henderson,Jonathan Henderson,43,Male,15-06-2024,Lakewood,United States
11144,Edward,Hernandez,Edward Hernandez,40,Male,25-01-2024,Ballard,United States
11145,Jasmine,Coleman,Jasmine Coleman,40,Female,25-01-2024,Beaverton,United States
11146,Karla,Goel,Karla Goel,80,Female,05-02-2024,Matraville,Australia
11147,Ernest,Wu,Ernest Wu,81,Male,13-05-2022,Warrnambool,Australia
11148,Ross,Vazquez,Ross Vazquez,78,Male,07-03-2024,East Brisbane,Australia
11149,Theodore,Gill,Theodore Gill,79,Male,04-06-2024,Hervey Bay,Australia
11150,Russell,Shen,Russell Shen,79,Male,27-03-2024,Sunbury,Australia
11151,Melinda,Gill,Melinda Gill,78,Female,15-05-2022,Sydney,Australia
11152,James,Williams,James Williams,44,Male,09-01-2024,Puyallup,United States
11153,Angela,James,Angela James,44,Female,29-03-2024,Renton,United States
11154,Megan,Walker,Megan Walker,43,Female,10-01-2024,Woodburn,United States
11155,Hunter,Robinson,Hunter Robinson,44,Male,06-01-2024,Burbank,United States
11156,Maria,Roberts,Maria Roberts,44,Female,08-01-2024,Lakewood,United States
11157,Hannah,Long,Hannah Long,45,Female,24-07-2024,Tacoma,United States
11158,Jason,Wright,Jason Wright,44,Male,19-01-2024,San Gabriel,United States
11159,Brianna,Hughes,Brianna Hughes,44,Female,08-09-2024,Woodland Hills,United States
11160,Maurice,Tang,Maurice Tang,46,Male,21-02-2024,Concord,United States
11161,Emily,Wood,Emily Wood,46,Female,01-06-2024,Concord,United States
11162,Chase,Cox,Chase Cox,46,Male,18-02-2024,La Jolla,United States
11163,Gabriel,Wang,Gabriel Wang,45,Male,01-05-2024,Spring Valley,United States
11164,Devin,Brooks,Devin Brooks,46,Male,27-04-2024,Torrance,United States
11165,Jocelyn,Alexander,Jocelyn Alexander,46,Female,25-05-2024,Oakland,United States
11166,Ashley,Martinez,Ashley Martinez,48,Female,14-10-2024,Olympia,United States
11167,Jasmine,Barnes,Jasmine Barnes,47,Female,07-01-2024,Issaquah,United States
11168,David,Rodriguez,David Rodriguez,52,Male,15-01-2024,Oakland,United States
11169,Bryce,Richardson,Bryce Richardson,52,Male,26-05-2024,Coronado,United States
11170,Carol,Howard,Carol Howard,52,Female,26-08-2024,Burien,United States
11171,Jonathan,Hill,Jonathan Hill,47,Male,20-08-2022,Woodland Hills,United States
11172,Gabrielle,Adams,Gabrielle Adams,52,Female,03-05-2024,Lynnwood,United States
11173,Sarah,Thomas,Sarah Thomas,52,Female,02-03-2024,W. Linn,United States
11174,Nicholas,Robinson,Nicholas Robinson,52,Male,13-07-2024,Los Angeles,United States
11175,Luis,Wang,Luis Wang,57,Male,28-08-2022,Beverly Hills,United States
11176,Mason,Roberts,Mason Roberts,46,Male,02-02-2024,Haney,Canada
11177,Jose,Flores,Jose Flores,77,Male,29-03-2024,San Diego,United States
11178,Nathan,Johnson,Nathan Johnson,71,Male,21-02-2024,Lakewood,United States
11179,Molly,Rodriguez,Molly Rodriguez,66,Female,12-03-2024,Beverly Hills,United States
11180,April,Anand,April Anand,77,Female,17-03-2024,Chula Vista,United States
11181,Devin,Martin,Devin Martin,65,Male,07-05-2024,Los Angeles,United States
11182,Stephanie,Torres,Stephanie Torres,75,Female,28-08-2024,Sedro Woolley,United States
11183,Jasmine,Lee,Jasmine Lee,75,Female,30-04-2024,Santa Cruz,United States
11184,Meghan,Hernandez,Meghan Hernandez,70,Female,10-08-2024,Concord,United States
11185,Ashley,Henderson,Ashley Henderson,75,Female,21-02-2024,Metchosin,Canada
11186,Sarah,Price,Sarah Price,76,Female,18-10-2024,Palo Alto,United States
11187,Jennifer,Cooper,Jennifer Cooper,76,Female,03-04-2024,Burien,United States
11188,Catherine,Morris,Catherine Morris,75,Female,01-11-2024,San Gabriel,United States
11189,Lawrence,Blanco,Lawrence Blanco,75,Male,26-08-2022,Bellingham,United States
11190,Carson,Bryant,Carson Bryant,76,Male,28-08-2024,Beverly Hills,United States
11191,Kristi,Perez,Kristi Perez,74,Female,11-08-2022,Colma,United States
11192,James,Brown,James Brown,74,Male,23-06-2024,Seattle,United States
11193,Ian,Gray,Ian Gray,75,Male,25-02-2024,Woodburn,United States
11194,Jacqueline,Price,Jacqueline Price,75,Female,13-03-2024,Palo Alto,United States
11195,Megan,Henderson,Megan Henderson,74,Female,14-04-2024,Renton,United States
11196,Alfredo,Romero,Alfredo Romero,74,Male,03-03-2024,Beaverton,United States
11197,Andrea,Morris,Andrea Morris,74,Female,02-05-2024,Seattle,United States
11198,Brooke,Sanders,Brooke Sanders,73,Female,05-02-2024,Santa Cruz,United States
11199,Jacqueline,Bennett,Jacqueline Bennett,68,Female,18-03-2024,Burlingame,United States
11200,Jason,Griffin,Jason Griffin,72,Male,07-02-2024,Victoria,Canada
11201,Amanda,Foster,Amanda Foster,72,Female,01-07-2024,Santa Monica,United States
11202,Alexia,Price,Alexia Price,67,Female,15-09-2024,Lakewood,United States
11203,Luis,Diaz,Luis Diaz,66,Male,20-02-2024,Port Hammond,Canada
11204,Destiny,Rivera,Destiny Rivera,72,Female,09-08-2024,Beaverton,United States
11205,Abby,Fernandez,Abby Fernandez,71,Female,27-07-2024,Burien,United States
11206,Blake,Flores,Blake Flores,71,Male,11-05-2024,Lynnwood,United States
11207,Danielle,Cox,Danielle Cox,71,Female,31-01-2024,Renton,United States
11208,Maria,Reed,Maria Reed,72,Female,04-03-2024,Glendale,United States
11209,Allison,Evans,Allison Evans,72,Female,25-03-2024,Lincoln Acres,United States
11210,Edward,Wood,Edward Wood,72,Male,06-05-2024,West Covina,United States
11211,Samantha,Russell,Samantha Russell,65,Female,01-02-2024,Haney,Canada
11212,Chloe,Campbell,Chloe Campbell,70,Female,30-01-2024,Metchosin,Canada
11213,Stephanie,Murphy,Stephanie Murphy,71,Female,28-03-2024,Edmonds,United States
11214,Charles,Miller,Charles Miller,70,Male,14-08-2024,Milwaukie,United States
11215,Ana,Perry,Ana Perry,64,Female,15-02-2024,Royal Oak,Canada
11216,Jasmine,Torres,Jasmine Torres,70,Female,15-08-2022,Portland,United States
11217,Natalie,Adams,Natalie Adams,70,Female,10-08-2022,Portland,United States
11218,Olivia,Brown,Olivia Brown,64,Female,28-02-2024,Tacoma,United States
11219,Charles,Cook,Charles Cook,69,Male,29-10-2024,Woodburn,United States
11220,Erica,Huang,Erica Huang,64,Female,14-03-2024,Colma,United States
11221,Nathan,Perry,Nathan Perry,70,Male,07-04-2024,Lakewood,United States
11222,Alexandra,Rivera,Alexandra Rivera,69,Female,01-11-2024,Santa Monica,United States
11223,Hailey,Patterson,Hailey Patterson,68,Female,29-01-2024,Langley,Canada
11224,Tiffany,Li,Tiffany Li,68,Female,07-08-2022,Burien,United States
11225,Madison,Lee,Madison Lee,63,Female,22-06-2024,Renton,United States
11226,Sydney,Ross,Sydney Ross,63,Female,21-02-2024,W. Linn,United States
11227,Marshall,Chavez,Marshall Chavez,63,Male,03-08-2022,Colma,United States
11228,Ashley,Jones,Ashley Jones,69,Female,25-10-2024,El Cajon,United States
11229,Adrian,Stewart,Adrian Stewart,68,Male,27-07-2024,Redwood City,United States
11230,Amber,Turner,Amber Turner,69,Female,16-07-2024,Santa Monica,United States
11231,Dennis,Zhang,Dennis Zhang,62,Male,10-02-2024,Bremerton,United States
11232,Hailey,Bryant,Hailey Bryant,67,Female,20-09-2024,Everett,United States
11233,Todd,Li,Todd Li,62,Male,08-02-2024,Berkeley,United States
11234,Anna,Griffin,Anna Griffin,67,Female,08-02-2024,Long Beach,United States
11235,Angel,Stewart,Angel Stewart,68,Male,04-07-2024,Ballard,United States
11236,Jeremy,Butler,Jeremy Butler,68,Male,03-10-2024,Bellingham,United States
11237,Clarence,Anand,Clarence Anand,61,Male,05-09-2022,Solingen,Germany
11238,Mayra,Prasad,Mayra Prasad,61,Female,06-01-2022,Birmingham,United Kingdom
11239,Latoya,Goel,Latoya Goel,56,Female,19-01-2022,London,United Kingdom
11240,Anne,Hernandez,Anne Hernandez,61,Female,27-02-2022,Watford,United Kingdom
11241,Lisa,Cai,Lisa Cai,51,Female,10-09-2023,Les Ulis,France
11242,Larry,Munoz,Larry Munoz,62,Male,19-09-2023,Versailles,France
11243,Robin,Alvarez,Robin Alvarez,62,Female,21-02-2022,Esher-Molesey,United Kingdom
11244,Alexis,Coleman,Alexis Coleman,57,Female,12-02-2022,Runcorn,United Kingdom
11245,Ricky,Vazquez,Ricky Vazquez,63,Male,26-09-2022,Hamburg,Germany
11246,Latasha,Rubio,Latasha Rubio,63,Female,03-10-2022,Hamburg,Germany
11247,Claudia,Zhou,Claudia Zhou,64,Female,18-02-2022,Lancaster,United Kingdom
11248,Tristan,Alexander,Tristan Alexander,59,Male,14-07-2024,Saint-Denis,France
11249,Cindy,Patel,Cindy Patel,59,Female,09-10-2022,Sulzbach Taunus,Germany
11250,Shannon,Liu,Shannon Liu,59,Female,17-03-2022,Woolston,United Kingdom
11251,Xavier,Long,Xavier Long,87,Male,18-10-2024,Haney,Canada
11252,Nicholas,Thompson,Nicholas Thompson,88,Male,14-08-2022,Lemon Grove,United States
11253,José,Hernandez,José Hernandez,76,Male,01-03-2024,Victoria,Canada
11254,Johnathan,Vance,Johnathan Vance,87,Male,23-11-2024,Burien,United States
11255,Colin,Lin,Colin Lin,87,Male,23-02-2024,Burien,United States
11256,Katelyn,Hernandez,Katelyn Hernandez,86,Female,15-04-2024,Lynnwood,United States
11257,Jacqueline,Powell,Jacqueline Powell,87,Female,24-08-2022,Newport Beach,United States
11258,Xavier,Hill,Xavier Hill,87,Male,21-05-2024,Palo Alto,United States
11259,Victoria,Stewart,Victoria Stewart,55,Female,04-09-2022,Salem,United States
11260,Katelyn,Kelly,Katelyn Kelly,49,Female,05-02-2024,Burlingame,United States
11261,Stephanie,Collins,Stephanie Collins,55,Female,27-09-2022,San Diego,United States
11262,Jennifer,Simmons,Jennifer Simmons,50,Female,27-02-2024,Port Hammond,Canada
11263,Trinity,Richardson,Trinity Richardson,55,Female,29-08-2022,Burien,United States
11264,Eduardo,Martin,Eduardo Martin,56,Male,02-01-2024,Issaquah,United States
11265,Elizabeth,Jones,Elizabeth Jones,55,Female,03-01-2024,Kirkland,United States
11266,Taylor,Howard,Taylor Howard,56,Female,10-09-2022,Port Orchard,United States
11267,David,Diaz,David Diaz,50,Male,17-09-2022,Burlingame,United States
11268,Katelyn,Carter,Katelyn Carter,56,Female,29-05-2024,Coronado,United States
11269,Ryan,Foster,Ryan Foster,50,Male,22-08-2024,Daly City,United States
11270,Robert,Lee,Robert Lee,50,Male,10-09-2022,Lakewood,United States
11271,Danielle,Reed,Danielle Reed,56,Female,27-09-2022,San Francisco,United States
11272,Lauren,Martinez,Lauren Martinez,63,Female,19-09-2022,Beverly Hills,United States
11273,Nathan,Lal,Nathan Lal,63,Male,14-05-2024,La Jolla,United States
11274,Kyle,Foster,Kyle Foster,86,Male,29-08-2022,Bellingham,United States
11275,Jenny,Rai,Jenny Rai,86,Female,30-08-2022,Colma,United States
11276,Nancy,Chapman,Nancy Chapman,51,Female,29-01-2024,Cliffside,Canada
11277,Charles,Jackson,Charles Jackson,57,Male,02-02-2024,Royal Oak,Canada
11278,Jonathan,Phillips,Jonathan Phillips,56,Male,16-09-2022,Edmonds,United States
11279,Amanda,Cook,Amanda Cook,51,Female,03-03-2024,Everett,United States
11280,Robert,Collins,Robert Collins,56,Male,01-07-2024,Lynnwood,United States
11281,Megan,Barnes,Megan Barnes,51,Female,13-09-2022,Burbank,United States
11282,Christian,Thomas,Christian Thomas,58,Male,31-08-2022,Burien,United States
11283,Arturo,Lal,Arturo Lal,57,Male,29-05-2024,Berkeley,United States
11284,Theresa,Serrano,Theresa Serrano,58,Female,06-02-2024,Chula Vista,United States
11285,Jeremy,Anderson,Jeremy Anderson,52,Male,27-07-2024,Fremont,United States
11286,Hunter,Griffin,Hunter Griffin,58,Male,21-09-2022,Torrance,United States
11287,Henry,Garcia,Henry Garcia,59,Male,29-01-2024,Cliffside,Canada
11288,Cindy,Sanchez,Cindy Sanchez,47,Female,05-03-2024,Burbank,United States
11289,Maria,Carter,Maria Carter,53,Female,08-09-2022,Downey,United States
11290,Katelyn,Sanchez,Katelyn Sanchez,53,Female,20-09-2022,Lakewood,United States
11291,Jenna,Wright,Jenna Wright,53,Female,04-09-2022,Lemon Grove,United States
11292,Seth,Phillips,Seth Phillips,58,Male,15-09-2022,San Gabriel,United States
11293,Luke,Long,Luke Long,65,Male,24-02-2024,Port Orchard,United States
11294,Dalton,Clark,Dalton Clark,64,Male,25-09-2024,Issaquah,United States
11295,Taylor,Lewis,Taylor Lewis,66,Female,25-09-2022,Concord,United States
11296,Haley,Richardson,Haley Richardson,84,Female,01-09-2022,Everett,United States
11297,Noah,Coleman,Noah Coleman,85,Male,26-09-2022,Burbank,United States
11298,Jon,Luo,Jon Luo,85,Male,12-09-2022,Chula Vista,United States
11299,Orlando,Vazquez,Orlando Vazquez,84,Male,26-09-2022,Burbank,United States
11300,Fernando,Barnes,Fernando Barnes,60,Male,31-01-2024,N. Vancouver,Canada
11301,Cameron,Rodriguez,Cameron Rodriguez,60,Male,09-06-2024,Ballard,United States
11302,Spencer,Russell,Spencer Russell,54,Male,06-09-2022,Corvallis,United States
11303,Julia,Coleman,Julia Coleman,59,Female,02-09-2022,Edmonds,United States
11304,Julia,Garcia,Julia Garcia,54,Female,20-03-2024,Portland,United States
11305,Sean,Evans,Sean Evans,60,Male,25-03-2024,Chula Vista,United States
11306,Micah,Zhou,Micah Zhou,60,Male,30-06-2024,Coronado,United States
11307,Hunter,Rodriguez,Hunter Rodriguez,60,Male,04-09-2022,Daly City,United States
11308,Ian,Gonzales,Ian Gonzales,66,Male,07-09-2024,Oregon City,United States
11309,Victoria,Lewis,Victoria Lewis,66,Female,09-07-2024,Beaverton,United States
11310,Erin,Sanders,Erin Sanders,61,Female,12-08-2024,San Francisco,United States
11311,Gabrielle,Lopez,Gabrielle Lopez,66,Female,18-04-2024,Lynnwood,United States
11312,Sara,Richardson,Sara Richardson,67,Female,17-05-2024,Lynnwood,United States
11313,Trevor,Jenkins,Trevor Jenkins,67,Male,07-05-2024,Port Orchard,United States
11314,Mya,Flores,Mya Flores,55,Female,25-02-2024,Issaquah,United States
11315,Hailey,Ward,Hailey Ward,66,Female,20-05-2024,Port Orchard,United States
11316,Luke,Allen,Luke Allen,66,Male,12-01-2024,Langford,Canada
11317,Victoria,Russell,Victoria Russell,62,Female,01-09-2022,Salem,United States
11318,Jessica,Wilson,Jessica Wilson,67,Female,17-10-2024,Edmonds,United States
11319,Jade,Bailey,Jade Bailey,77,Female,09-09-2022,Oakland,United States
11320,Morgan,Hill,Morgan Hill,83,Female,15-06-2024,Glendale,United States
11321,Terrance,Raman,Terrance Raman,81,Male,23-02-2024,Burien,United States
11322,Sydney,Garcia,Sydney Garcia,82,Female,24-03-2024,Bremerton,United States
11323,Jose,Patterson,Jose Patterson,82,Male,10-09-2022,Daly City,United States
11324,Zachary,Anderson,Zachary Anderson,81,Male,26-09-2022,Glendale,United States
11325,Elijah,Ross,Elijah Ross,81,Male,19-09-2022,Seattle,United States
11326,Rafael,Xie,Rafael Xie,81,Male,15-09-2022,Beverly Hills,United States
11327,Jaime,Moreno,Jaime Moreno,80,Male,26-09-2022,Burbank,United States
11328,Julian,Griffin,Julian Griffin,80,Male,05-01-2024,Newton,Canada
11329,Andy,Alvarez,Andy Alvarez,79,Male,25-09-2022,Concord,United States
